X204.014D.final	X204.0A78.final	X204.0E29.final	X204.1D21.final	X204.2401.final	X204.2B00.final	X204.362D.final	X204.3B49.final	X204.4305.final	X204.691B.final	X213.0433.final	X213.0F6A.final	X213.1B7C.final	X213.3451.final	X213.3C4E.final	X213.4410.final	X213.496F.final	X213.5D38.final	X213.6224.final	X213.7B56.final	X215.0302.t.2	X215.0646.t.2	X215.0B2B.t.2	X215.0B59.t.2	X215.340E.t.2	X215.406C.t.2	X215.471D.t.2	X215.591C.t.2	X215.6E50.t.2	X215.7262.t.2
20	11	8	4	4	5	2	9	2	4	22	7	0	8	4	0	7	2	14	49	7	10	1	2	21	9	25	9	3	5
11	3	6	1	0	2	1	2	1	7	4	9	1	2	6	4	1	4	12	3	4	3	4	5	97	12	45	7	6	7
11	8	36	11	21	6	3	7	1	17	0	17	5	17	10	14	3	6	13	8	3	9	3	2	5	14	8	1	0	3
6	4	1	0	5	3	2	0	6	11	6	18	2	1	5	9	2	3	14	14	7	20	4	18	28	27	14	4	3	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	41	63	19	28	40	31	2	1	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	42	75	54	1	0	0	53
6	2	2	3	0	1	3	1	1	13	5	14	1	0	7	13	1	3	10	30	6	11	5	5	54	21	24	1	1	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	4	10	116	3	64	11	0	12
3	3	19	4	10	6	8	4	2	4	10	16	3	6	14	21	7	6	14	5	2	4	6	7	10	11	6	3	6	9
14	0	6	0	3	0	7	0	8	4	0	26	0	0	8	25	14	0	88	15	2	2	0	1	1	2	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	62	0	0	0
6	10	10	2	17	35	6	10	5	9	26	2	6	2	23	15	9	14	1	5	0	2	3	0	1	0	1	0	0	0
11	3	10	16	31	11	4	5	7	12	11	5	7	0	7	7	2	13	5	23	0	2	1	1	0	1	1	0	0	0
25	0	0	0	0	0	0	0	0	29	0	40	0	0	0	0	0	66	5	1	0	28	0	0	0	0	0	0	0	0
2	5	5	6	2	4	4	2	14	10	9	4	5	4	10	2	5	12	11	6	2	7	3	5	20	9	7	2	8	8
4	2	6	10	32	10	2	1	7	17	13	8	10	5	2	1	7	6	2	34	0	0	0	1	1	1	1	0	1	2
9	3	0	15	14	0	1	1	26	24	2	17	5	5	2	2	7	4	21	14	1	0	0	0	0	10	0	0	0	0
0	0	0	0	0	0	0	0	0	0	55	37	8	29	9	1	0	16	6	20	0	0	0	0	0	0	0	0	0	0
3	2	3	5	32	0	4	1	14	10	8	0	6	0	9	0	0	7	7	33	1	5	3	4	5	5	0	1	0	5
0	2	33	9	16	3	1	0	6	12	18	8	10	8	13	1	2	7	3	5	0	0	0	0	1	0	0	0	0	0
0	11	0	2	15	0	0	1	35	47	44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4	5	5	4	8	0	2	6	4	7	4	4	3	9	4	8	1	6	5	4	5	5	2	6	6	6	5	2	5	5
4	8	6	2	6	5	3	4	8	4	4	3	3	7	7	4	4	3	3	3	0	6	5	4	7	10	3	2	6	5
3	3	5	1	5	1	2	1	2	48	6	1	7	1	1	1	1	3	0	0	0	7	1	1	9	18	7	2	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	63	48	1	0	0	8
13	0	0	7	9	2	15	0	25	1	61	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	33	9	0	4	0	1	20	28	0	1	6	10	0	1	13	0	4	0	0	0	0	1	0	0	0	0	0
1	1	22	0	4	0	4	4	5	3	18	15	5	5	1	7	3	7	0	1	0	1	0	0	1	5	5	0	0	13
43	0	0	0	0	11	2	14	6	0	0	0	0	0	0	0	0	0	0	0	18	0	15	0	0	0	9	8	5	0
4	6	15	8	24	26	11	3	19	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
